setup_id,symbol,asset_class,timeframe,signal_type,timestamp,setup_bar_time,scenario,entry,stop_loss,target_1,status,outcome,outcome_timestamp,exit_price,bars_checked,realized_r
cwt-gbp_jpy-15m-scenario1-long-202604070845,GBP_JPY,forex_cross,15m,long,2026-04-07T08:45:00+00:00,2026-04-07T08:30:00+00:00,scenario1,211.782,211.379419,212.184581,closed,tp_hit,2026-04-07T20:30:00+00:00,212.184581,47,1.0
cwt-gbp_jpy-15m-scenario1-long-202604070900,GBP_JPY,forex_cross,15m,long,2026-04-07T09:00:00+00:00,2026-04-07T08:45:00+00:00,scenario1,211.856,211.39752,212.31448,closed,tp_hit,2026-04-07T22:00:00+00:00,212.31448,52,1.0
cwt-uk100_gbp-5m-scenario1-long-202604070905,UK100_GBP,index,5m,long,2026-04-07T09:05:00+00:00,2026-04-07T09:00:00+00:00,scenario1,10484.8,10449.5997,10520.0003,closed,sl_hit,2026-04-07T10:05:00+00:00,10449.5997,12,-1.0
cwt-usd_jpy-5m-scenario2-long-202604071005,USD_JPY,forex,5m,long,2026-04-07T10:05:00+00:00,2026-04-07T10:00:00+00:00,scenario2,159.642,159.466075,159.817925,closed,tp_hit,2026-04-07T11:10:00+00:00,159.817925,13,1.0
cwt-usd_jpy-5m-scenario1-long-202604071045,USD_JPY,forex,5m,long,2026-04-07T10:45:00+00:00,2026-04-07T10:40:00+00:00,scenario1,159.736,159.60989,159.86211,closed,tp_hit,2026-04-07T11:35:00+00:00,159.86211,10,1.0
cwt-usd_jpy-5m-scenario1-long-202604071055,USD_JPY,forex,5m,long,2026-04-07T10:55:00+00:00,2026-04-07T10:50:00+00:00,scenario1,159.774,159.61816,159.92984,closed,tp_hit,2026-04-07T14:00:00+00:00,159.92984,37,1.0
cwt-usd_jpy-5m-scenario1-long-202604071100,USD_JPY,forex,5m,long,2026-04-07T11:00:00+00:00,2026-04-07T10:55:00+00:00,scenario1,159.784,159.619941,159.948059,closed,tp_hit,2026-04-07T14:55:00+00:00,159.948059,47,1.0
cwt-usd_jpy-5m-scenario1-long-202604071110,USD_JPY,forex,5m,long,2026-04-07T11:10:00+00:00,2026-04-07T11:05:00+00:00,scenario1,159.805,159.63317,159.97683,closed,tp_hit,2026-04-07T15:00:00+00:00,159.97683,46,1.0
cwt-usd_jpy-5m-scenario1-long-202604071115,USD_JPY,forex,5m,long,2026-04-07T11:15:00+00:00,2026-04-07T11:10:00+00:00,scenario1,159.824,159.638774,160.009226,closed,tp_hit,2026-04-07T15:05:00+00:00,160.009226,46,1.0
cwt-usd_jpy-5m-scenario1-long-202604071135,USD_JPY,forex,5m,long,2026-04-07T11:35:00+00:00,2026-04-07T11:30:00+00:00,scenario1,159.846,159.665935,160.026065,closed,tp_hit,2026-04-07T15:05:00+00:00,160.026065,42,1.0
cwt-usd_jpy-5m-scenario1-long-202604071420,USD_JPY,forex,5m,long,2026-04-07T14:20:00+00:00,2026-04-07T14:15:00+00:00,scenario1,159.932,159.786114,160.077886,closed,sl_hit,2026-04-07T14:45:00+00:00,159.786114,5,-1.0
cwt-aud_usd-5m-scenario2-long-202604071425,AUD_USD,forex,5m,long,2026-04-07T14:25:00+00:00,2026-04-07T14:20:00+00:00,scenario2,0.69417,0.692415,0.695925,closed,tp_hit,2026-04-07T19:15:00+00:00,0.695925,58,1.0
cwt-gbp_jpy-15m-scenario1-long-202604071445,GBP_JPY,forex_cross,15m,long,2026-04-07T14:45:00+00:00,2026-04-07T14:30:00+00:00,scenario1,211.969,211.638957,212.299043,closed,tp_hit,2026-04-07T20:45:00+00:00,212.299043,24,1.0
cwt-aud_usd-5m-scenario1-long-202604071635,AUD_USD,forex,5m,long,2026-04-07T16:35:00+00:00,2026-04-07T16:30:00+00:00,scenario1,0.69478,0.69373,0.69583,closed,tp_hit,2026-04-07T19:15:00+00:00,0.69583,32,1.0
cwt-gbp_jpy-15m-scenario1-long-202604071715,GBP_JPY,forex_cross,15m,long,2026-04-07T17:15:00+00:00,2026-04-07T17:00:00+00:00,scenario1,211.92,211.725663,212.114337,closed,tp_hit,2026-04-07T19:45:00+00:00,212.114337,10,1.0
cwt-aud_usd-5m-scenario1-long-202604071750,AUD_USD,forex,5m,long,2026-04-07T17:50:00+00:00,2026-04-07T17:45:00+00:00,scenario1,0.69543,0.694389,0.696471,closed,tp_hit,2026-04-07T19:45:00+00:00,0.696471,23,1.0
cwt-aud_usd-5m-scenario1-long-202604071820,AUD_USD,forex,5m,long,2026-04-07T18:20:00+00:00,2026-04-07T18:15:00+00:00,scenario1,0.6955,0.69456,0.69644,closed,sl_hit,2026-04-07T18:55:00+00:00,0.69456,7,-1.0
cwt-eur_usd-5m-scenario1-long-202604071820,EUR_USD,forex,5m,long,2026-04-07T18:20:00+00:00,2026-04-07T18:15:00+00:00,scenario1,1.15798,1.157181,1.158779,closed,sl_hit,2026-04-07T18:55:00+00:00,1.157181,7,-1.0
cwt-aud_usd-5m-scenario1-long-202604071825,AUD_USD,forex,5m,long,2026-04-07T18:25:00+00:00,2026-04-07T18:20:00+00:00,scenario1,0.6956,0.694615,0.696585,closed,sl_hit,2026-04-07T18:55:00+00:00,0.694615,6,-1.0
cwt-eur_usd-5m-scenario1-long-202604071825,EUR_USD,forex,5m,long,2026-04-07T18:25:00+00:00,2026-04-07T18:20:00+00:00,scenario1,1.15821,1.157215,1.159205,closed,sl_hit,2026-04-07T18:55:00+00:00,1.157215,6,-1.0
cwt-usd_jpy-5m-scenario2-long-202604071900,USD_JPY,forex,5m,long,2026-04-07T19:00:00+00:00,2026-04-07T18:55:00+00:00,scenario2,159.844,159.795175,159.892825,closed,sl_hit,2026-04-07T19:05:00+00:00,159.795175,1,-1.0
cwt-gbp_jpy-15m-scenario1-long-202604071930,GBP_JPY,forex_cross,15m,long,2026-04-07T19:30:00+00:00,2026-04-07T19:15:00+00:00,scenario1,211.986,211.786114,212.185886,closed,tp_hit,2026-04-07T20:30:00+00:00,212.185886,4,1.0
cwt-eur_usd-5m-scenario1-long-202604071950,EUR_USD,forex,5m,long,2026-04-07T19:50:00+00:00,2026-04-07T19:45:00+00:00,scenario1,1.15952,1.157597,1.161443,closed,tp_hit,2026-04-07T22:00:00+00:00,1.161443,26,1.0
cwt-gbp_jpy-15m-scenario1-long-202604072000,GBP_JPY,forex_cross,15m,long,2026-04-07T20:00:00+00:00,2026-04-07T19:45:00+00:00,scenario1,212.048,211.804808,212.291192,closed,tp_hit,2026-04-07T20:45:00+00:00,212.291192,3,1.0
cwt-aud_usd-5m-scenario1-long-202604072010,AUD_USD,forex,5m,long,2026-04-07T20:10:00+00:00,2026-04-07T20:05:00+00:00,scenario1,0.69742,0.695128,0.699712,closed,tp_hit,2026-04-07T22:30:00+00:00,0.699712,28,1.0
cwt-eur_usd-5m-scenario1-long-202604072010,EUR_USD,forex,5m,long,2026-04-07T20:10:00+00:00,2026-04-07T20:05:00+00:00,scenario1,1.1599,1.157781,1.162019,closed,tp_hit,2026-04-07T22:30:00+00:00,1.162019,28,1.0
cwt-aud_usd-5m-scenario1-long-202604072015,AUD_USD,forex,5m,long,2026-04-07T20:15:00+00:00,2026-04-07T20:10:00+00:00,scenario1,0.69756,0.695167,0.699953,closed,tp_hit,2026-04-07T22:30:00+00:00,0.699953,27,1.0
cwt-eur_usd-5m-scenario1-long-202604072015,EUR_USD,forex,5m,long,2026-04-07T20:15:00+00:00,2026-04-07T20:10:00+00:00,scenario1,1.16018,1.157826,1.162534,closed,tp_hit,2026-04-07T22:30:00+00:00,1.162534,27,1.0
cwt-eur_usd-5m-scenario1-long-202604072020,EUR_USD,forex,5m,long,2026-04-07T20:20:00+00:00,2026-04-07T20:15:00+00:00,scenario1,1.16034,1.157873,1.162807,closed,tp_hit,2026-04-07T22:30:00+00:00,1.162807,26,1.0
cwt-gbp_jpy-15m-scenario1-long-202604072030,GBP_JPY,forex_cross,15m,long,2026-04-07T20:30:00+00:00,2026-04-07T20:15:00+00:00,scenario1,212.17,211.819419,212.520581,closed,tp_hit,2026-04-07T22:30:00+00:00,212.520581,8,1.0
cwt-gbp_jpy-15m-scenario1-long-202604072130,GBP_JPY,forex_cross,15m,long,2026-04-07T21:30:00+00:00,2026-04-07T21:15:00+00:00,scenario1,212.214,211.849197,212.578803,closed,tp_hit,2026-04-07T22:30:00+00:00,212.578803,4,1.0
cwt-eur_usd-5m-scenario1-long-202604072135,EUR_USD,forex,5m,long,2026-04-07T21:35:00+00:00,2026-04-07T21:30:00+00:00,scenario1,1.16012,1.159225,1.161015,closed,tp_hit,2026-04-07T22:00:00+00:00,1.161015,5,1.0
cwt-gbp_jpy-15m-scenario1-long-202604072145,GBP_JPY,forex_cross,15m,long,2026-04-07T21:45:00+00:00,2026-04-07T21:30:00+00:00,scenario1,212.292,211.85981,212.72419,closed,tp_hit,2026-04-07T23:45:00+00:00,212.72419,8,1.0
cwt-gbp_jpy-15m-scenario1-long-202604072215,GBP_JPY,forex_cross,15m,long,2026-04-07T22:15:00+00:00,2026-04-07T22:00:00+00:00,scenario1,212.324,211.889966,212.758034,closed,tp_hit,2026-04-07T23:45:00+00:00,212.758034,6,1.0
cwt-aud_usd-5m-scenario1-long-202604072225,AUD_USD,forex,5m,long,2026-04-07T22:25:00+00:00,2026-04-07T22:20:00+00:00,scenario1,0.69921,0.697212,0.701208,closed,sl_hit,2026-04-07T22:30:00+00:00,0.697212,1,-1.0
